0,0,"[16, 16, 13]","[14, -16, -13]",0,768.1329408999882
0,1,"[7, 7, 7]","[-7, 23, -7]",0,806.1021206000005
0,2,"[18, 17, 19]","[-18, -17, 11]",2,806.8885553000146
1,0,"[21, 21, 22]","[9, -21, -22]",2,816.6948392000049
1,1,"[7, 7, 7]","[-7, 23, -7]",0,798.0003229999566
1,2,"[19, 19, 20]","[-19, -19, 10]",2,795.0845736000338
2,0,"[21, 21, 22]","[9, -21, -22]",2,798.8943391999928
2,1,"[4, 4, 4]","[-4, 26, -4]",0,796.0531232000212
2,2,"[25, 25, 23]","[-25, -25, 7]",0,800.9990906000021
3,0,"[19, 19, 17]","[11, -19, -17]",0,801.1342675000196
3,1,"[6, 6, 6]","[-6, 24, -6]",0,793.0486574000097
3,2,"[19, 19, 22]","[-19, -19, 8]",2,801.9646873000311
4,0,"[23, 22, 22]","[7, -22, -22]",0,807.6069537999574
4,1,"[10, 10, 9]","[-10, 20, -9]",0,798.3376428000047
4,2,"[14, 14, 15]","[-14, -14, 15]",2,798.9978806999861
5,0,"[27, 25, 26]","[3, -25, -26]",0,803.7693146999809
5,1,"[12, 13, 13]","[-12, 17, -13]",1,799.1981320999912
5,2,"[22, 22, 21]","[-22, -22, 9]",0,790.6516647000099
6,0,"[23, 23, 24]","[7, -23, -24]",2,787.2611551000155
6,1,"[6, 6, 6]","[-6, 24, -6]",0,789.0130878000055
6,2,"[16, 16, 16]","[-16, -16, 14]",0,788.3107118000044
7,0,"[12, 12, 12]","[18, -12, -12]",0,793.7699775000219
7,1,"[9, 9, 9]","[-9, 21, -9]",0,794.2829439000343
7,2,"[25, 25, 25]","[-25, -25, 5]",0,802.9568045999622
8,0,"[24, 23, 24]","[6, -23, -24]",0,805.077834100055
8,1,"[5, 5, 6]","[-5, 25, -6]",2,786.5714075000142
8,2,"[22, 21, 22]","[-22, -21, 8]",0,791.5710610999959
9,0,"[15, 14, 17]","[15, -14, -17]",2,790.2211648999946
9,1,"[10, 9, 9]","[-10, 21, -9]",0,785.6169220000156
9,2,"[9, 10, 10]","[-9, -10, 20]",1,780.2079877000069
0,0,"[13, 16, 12]","[17, -16, -12]",1,800.637615500018
0,1,"[7, 7, 7]","[-7, 23, -7]",0,793.0775619999622
0,2,"[18, 18, 19]","[-18, -18, 11]",2,792.6530794999562
1,0,"[21, 21, 22]","[9, -21, -22]",2,800.0812094000285
1,1,"[7, 6, 7]","[-7, 24, -7]",0,786.4965220000013
1,2,"[19, 19, 20]","[-19, -19, 10]",2,785.1689502000227
2,0,"[21, 21, 22]","[9, -21, -22]",2,795.173311999999
2,1,"[4, 4, 4]","[-4, 26, -4]",0,785.0757038000156
2,2,"[24, 24, 22]","[-24, -24, 8]",0,795.6366321999812
3,0,"[19, 18, 17]","[11, -18, -17]",0,794.9228914999985
3,1,"[6, 6, 6]","[-6, 24, -6]",0,788.3499022999895
3,2,"[22, 22, 21]","[-22, -22, 9]",0,795.7770372999948
4,0,"[22, 20, 22]","[8, -20, -22]",0,800.6722235999769
4,1,"[10, 7, 8]","[-10, 23, -8]",0,800.379494599998
4,2,"[14, 13, 15]","[-14, -13, 15]",2,798.0201026999857
5,0,"[27, 25, 27]","[3, -25, -27]",0,785.7206525000511
5,1,"[12, 11, 13]","[-12, 19, -13]",2,786.0405453999992
5,2,"[22, 22, 21]","[-22, -22, 9]",0,795.4211452000309
6,0,"[24, 23, 25]","[6, -23, -25]",2,795.3921046999749
6,1,"[6, 6, 6]","[-6, 24, -6]",0,786.9120872000349
6,2,"[16, 16, 16]","[-16, -16, 14]",0,792.4712593000149
