0,0,"[16, 16, 13]","[14, -16, -13]",0
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[18, 17, 19]","[-18, -17, 11]",2
1,0,"[21, 21, 22]","[9, -21, -22]",2
1,1,"[7, 7, 7]","[-7, 23, -7]",0
1,2,"[19, 19, 20]","[-19, -19, 10]",2
2,0,"[21, 21, 22]","[9, -21, -22]",2
2,1,"[4, 4, 4]","[-4, 26, -4]",0
2,2,"[25, 25, 23]","[-25, -25, 7]",0
3,0,"[19, 19, 17]","[11, -19, -17]",0
3,1,"[6, 6, 6]","[-6, 24, -6]",0
3,2,"[19, 19, 22]","[-19, -19, 8]",2
4,0,"[23, 22, 22]","[7, -22, -22]",0
4,1,"[10, 10, 9]","[-10, 20, -9]",0
4,2,"[14, 14, 15]","[-14, -14, 15]",2
5,0,"[27, 25, 26]","[3, -25, -26]",0
5,1,"[12, 13, 13]","[-12, 17, -13]",1
5,2,"[22, 22, 21]","[-22, -22, 9]",0
6,0,"[23, 23, 24]","[7, -23, -24]",2
6,1,"[6, 6, 6]","[-6, 24, -6]",0
6,2,"[16, 16, 16]","[-16, -16, 14]",0
7,0,"[12, 12, 12]","[18, -12, -12]",0
7,1,"[9, 9, 9]","[-9, 21, -9]",0
7,2,"[25, 25, 25]","[-25, -25, 5]",0
8,0,"[24, 23, 24]","[6, -23, -24]",0
8,1,"[5, 5, 6]","[-5, 25, -6]",2
8,2,"[22, 21, 22]","[-22, -21, 8]",0
9,0,"[15, 14, 17]","[15, -14, -17]",2
9,1,"[10, 9, 9]","[-10, 21, -9]",0
9,2,"[9, 10, 10]","[-9, -10, 20]",1
0,0,"[13, 16, 12]","[17, -16, -12]",1
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[18, 18, 19]","[-18, -18, 11]",2
1,0,"[21, 21, 22]","[9, -21, -22]",2
1,1,"[7, 6, 7]","[-7, 24, -7]",0
1,2,"[19, 19, 20]","[-19, -19, 10]",2
2,0,"[21, 21, 22]","[9, -21, -22]",2
2,1,"[4, 4, 4]","[-4, 26, -4]",0
2,2,"[24, 24, 22]","[-24, -24, 8]",0
3,0,"[19, 18, 17]","[11, -18, -17]",0
3,1,"[6, 6, 6]","[-6, 24, -6]",0
3,2,"[22, 22, 21]","[-22, -22, 9]",0
4,0,"[22, 20, 22]","[8, -20, -22]",0
4,1,"[10, 7, 8]","[-10, 23, -8]",0
4,2,"[14, 13, 15]","[-14, -13, 15]",2
5,0,"[27, 25, 27]","[3, -25, -27]",0
5,1,"[12, 11, 13]","[-12, 19, -13]",2
5,2,"[22, 22, 21]","[-22, -22, 9]",0
6,0,"[24, 23, 25]","[6, -23, -25]",2
6,1,"[6, 6, 6]","[-6, 24, -6]",0
6,2,"[16, 16, 16]","[-16, -16, 14]",0
7,0,"[12, 12, 12]","[18, -12, -12]",0
7,1,"[9, 8, 9]","[-9, 22, -9]",0
7,2,"[25, 25, 25]","[-25, -25, 5]",0
8,0,"[24, 23, 24]","[6, -23, -24]",0
8,1,"[5, 5, 5]","[-5, 25, -5]",0
8,2,"[22, 21, 22]","[-22, -21, 8]",0
9,0,"[14, 14, 17]","[16, -14, -17]",2
9,1,"[10, 9, 9]","[-10, 21, -9]",0
9,2,"[9, 9, 10]","[-9, -9, 20]",2
0,0,"[11, 15, 12]","[19, -15, -12]",1
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[18, 18, 19]","[-18, -18, 11]",2
1,0,"[21, 21, 22]","[9, -21, -22]",2
1,1,"[6, 6, 6]","[-6, 24, -6]",0
1,2,"[19, 18, 20]","[-19, -18, 10]",2
2,0,"[21, 21, 21]","[9, -21, -21]",0
2,1,"[4, 4, 4]","[-4, 26, -4]",0
2,2,"[24, 24, 22]","[-24, -24, 8]",0
3,0,"[19, 18, 17]","[11, -18, -17]",0
3,1,"[6, 6, 6]","[-6, 24, -6]",0
3,2,"[22, 22, 21]","[-22, -22, 9]",0
4,0,"[22, 21, 21]","[8, -21, -21]",0
4,1,"[10, 10, 8]","[-10, 20, -8]",0
4,2,"[13, 14, 14]","[-13, -14, 16]",1
5,0,"[27, 25, 25]","[3, -25, -25]",0
5,1,"[12, 11, 12]","[-12, 19, -12]",0
5,2,"[22, 22, 21]","[-22, -22, 9]",0
6,0,"[24, 23, 24]","[6, -23, -24]",0
6,1,"[6, 6, 6]","[-6, 24, -6]",0
6,2,"[15, 15, 16]","[-15, -15, 14]",2
7,0,"[12, 10, 12]","[18, -10, -12]",0
7,1,"[9, 8, 9]","[-9, 22, -9]",0
7,2,"[25, 25, 25]","[-25, -25, 5]",0
8,0,"[23, 23, 24]","[7, -23, -24]",2
8,1,"[5, 5, 5]","[-5, 25, -5]",0
8,2,"[22, 21, 22]","[-22, -21, 8]",0
9,0,"[14, 14, 17]","[16, -14, -17]",2
9,1,"[10, 9, 9]","[-10, 21, -9]",0
9,2,"[9, 9, 10]","[-9, -9, 20]",2
0,0,"[11, 15, 11]","[19, -15, -11]",1
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[18, 18, 19]","[-18, -18, 11]",2
1,0,"[20, 19, 21]","[10, -19, -21]",2
1,1,"[6, 6, 6]","[-6, 24, -6]",0
1,2,"[19, 18, 20]","[-19, -18, 10]",2
2,0,"[21, 20, 21]","[9, -20, -21]",0
2,1,"[4, 4, 4]","[-4, 26, -4]",0
2,2,"[24, 24, 22]","[-24, -24, 8]",0
3,0,"[18, 18, 17]","[12, -18, -17]",0
3,1,"[6, 6, 6]","[-6, 24, -6]",0
3,2,"[22, 22, 21]","[-22, -22, 9]",0
4,0,"[22, 21, 21]","[8, -21, -21]",0
4,1,"[10, 10, 8]","[-10, 20, -8]",0
4,2,"[14, 14, 13]","[-14, -14, 17]",0
5,0,"[27, 26, 25]","[3, -26, -25]",0
5,1,"[11, 11, 12]","[-11, 19, -12]",2
5,2,"[22, 22, 21]","[-22, -22, 9]",0
6,0,"[23, 23, 24]","[7, -23, -24]",2
6,1,"[6, 6, 6]","[-6, 24, -6]",0
6,2,"[15, 15, 15]","[-15, -15, 15]",0
7,0,"[11, 10, 12]","[19, -10, -12]",2
7,1,"[8, 8, 8]","[-8, 22, -8]",0
7,2,"[25, 24, 25]","[-25, -24, 5]",0
8,0,"[23, 22, 24]","[7, -22, -24]",2
8,1,"[5, 5, 5]","[-5, 25, -5]",0
8,2,"[21, 21, 22]","[-21, -21, 8]",2
9,0,"[14, 14, 16]","[16, -14, -16]",2
9,1,"[9, 9, 9]","[-9, 21, -9]",0
9,2,"[8, 8, 9]","[-8, -8, 21]",2
0,0,"[10, 15, 12]","[20, -15, -12]",1
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[17, 18, 19]","[-17, -18, 11]",2
1,0,"[20, 19, 21]","[10, -19, -21]",2
1,1,"[6, 6, 6]","[-6, 24, -6]",0
1,2,"[19, 18, 20]","[-19, -18, 10]",2
2,0,"[21, 20, 21]","[9, -20, -21]",0
2,1,"[4, 4, 4]","[-4, 26, -4]",0
2,2,"[24, 24, 22]","[-24, -24, 8]",0
3,0,"[18, 18, 17]","[12, -18, -17]",0
3,1,"[6, 6, 6]","[-6, 24, -6]",0
3,2,"[22, 23, 21]","[-22, -23, 9]",1
4,0,"[22, 21, 21]","[8, -21, -21]",0
4,1,"[10, 9, 7]","[-10, 21, -7]",0
4,2,"[14, 13, 13]","[-14, -13, 17]",0
5,0,"[26, 26, 25]","[4, -26, -25]",0
5,1,"[11, 11, 12]","[-11, 19, -12]",2
5,2,"[22, 21, 21]","[-22, -21, 9]",0
6,0,"[23, 23, 24]","[7, -23, -24]",2
6,1,"[6, 6, 6]","[-6, 24, -6]",0
